id,nome,cpf,cnpj_completo,email
id_5484,Carlos Oliveira,55566677788,17172257001286,user1325@hotmail.com
id_7673,Ana Souza,55566677788,03776586174592,user3422@yahoo.com.br
id_6456,Carlos Oliveira,12345678909,59105026901616,user7293@yahoo.com.br
id_8672,Ana Souza,62597761525,14226870717149,user6276@yahoo.com.br
id_6421,João Silva,60608761290,15814399731590,user2110@gmail.com
id_7483,Maria Santos,52998224725,03776586174592,user3371@hotmail.com
id_8370,Pedro Costa,52998224725,98537346275224,user2070@gmail.com
id_2782,Pedro Costa,55566677788,59105026901616,user94@hotmail.com
id_3587,Pedro Costa,50221290605,59105026901616,user3450@yahoo.com.br
id_6407,João Silva,11122233344,77890974970405,user8741@yahoo.com.br
id_7331,Ana Souza,12345678909,22991230990755,user1658@hotmail.com
id_9150,Ana Souza,12345678909,98537346275224,user2489@gmail.com
id_8873,João Silva,52998224725,15814399731590,user9650@yahoo.com.br
id_2757,Maria Santos,60608761290,59105026901616,user131@hotmail.com
id_2546,Maria Santos,04335195095,10498791878733,user7218@gmail.com
id_1734,Carlos Oliveira,11122233344,72282567499669,user5438@hotmail.com
id_8639,Pedro Costa,62597761525,77890974970405,user6412@hotmail.com
id_1803,Ana Souza,55566677788,84993584563456,user3167@hotmail.com
id_9331,Pedro Costa,62597761525,22991230990755,user3929@hotmail.com
id_6314,Ana Souza,07370382257,98537346275224,user5955@yahoo.com.br
id_9419,Pedro Costa,04335195095,14226870717149,user4350@yahoo.com.br
id_2431,Ana Souza,12345678909,22991230990755,user9735@yahoo.com.br
id_3290,João Silva,12345678909,90709818713649,user525@gmail.com
id_9986,Maria Santos,55566677788,22991230990755,user3726@yahoo.com.br
id_4144,Ana Souza,04335195095,03776586174592,user5458@gmail.com
id_8907,Carlos Oliveira,98381654840,77890974970405,user6368@gmail.com
id_2375,Carlos Oliveira,07370382257,31711107694246,user3689@gmail.com
id_5726,Ana Souza,11122233344,59105026901616,user6251@hotmail.com
id_8112,Maria Santos,98381654840,17322309236307,user4468@hotmail.com
id_7725,Ana Souza,62597761525,98537346275224,user1717@gmail.com
id_1822,Pedro Costa,50221290605,99516286428740,user350@yahoo.com.br
id_3787,Ana Souza,11122233344,59105026901616,user4821@hotmail.com
id_1392,Carlos Oliveira,60608761290,10498791878733,user2741@hotmail.com
id_6460,Maria Santos,12345678909,99516286428740,user6785@yahoo.com.br
id_4710,Pedro Costa,60608761290,90709818713649,user1943@hotmail.com
id_1608,Carlos Oliveira,50221290605,17172257001286,user1033@yahoo.com.br
id_2586,Carlos Oliveira,11122233344,14226870717149,user9731@gmail.com
id_3879,Ana Souza,04335195095,84993584563456,user9183@hotmail.com
id_3499,Maria Santos,62597761525,77890974970405,user9540@yahoo.com.br
id_5531,Ana Souza,98381654840,99516286428740,user9690@gmail.com
id_5017,Ana Souza,11122233344,03776586174592,user4472@hotmail.com
id_8946,João Silva,50221290605,90709818713649,user4378@yahoo.com.br
id_8143,Ana Souza,55566677788,22991230990755,user1301@hotmail.com
id_2952,Carlos Oliveira,52998224725,14226870717149,user6037@hotmail.com
id_7793,Maria Santos,12345678909,59105026901616,user9492@yahoo.com.br
id_9743,Maria Santos,60608761290,90709818713649,user4511@yahoo.com.br
id_2819,Maria Santos,50221290605,22991230990755,user8106@hotmail.com
id_6143,Pedro Costa,55566677788,77890974970405,user525@yahoo.com.br
id_4658,Carlos Oliveira,52998224725,22991230990755,user9532@gmail.com
id_9431,Pedro Costa,12345678909,84993584563456,user8321@gmail.com
id_7998,João Silva,55566677788,22991230990755,user7899@yahoo.com.br
id_8883,Ana Souza,12345678909,22991230990755,user3631@hotmail.com
id_3396,João Silva,52998224725,15814399731590,user2728@yahoo.com.br
id_5450,Ana Souza,62597761525,31711107694246,user7758@gmail.com
id_9487,Pedro Costa,52998224725,22991230990755,user4224@gmail.com
id_2736,Carlos Oliveira,55566677788,72282567499669,user382@gmail.com
id_6999,Pedro Costa,60608761290,17322309236307,user3755@yahoo.com.br
id_3131,Carlos Oliveira,52998224725,90709818713649,user187@hotmail.com
id_4964,Maria Santos,60608761290,17172257001286,user1917@hotmail.com
id_1323,Ana Souza,07370382257,10498791878733,user3685@gmail.com
id_7021,Carlos Oliveira,07370382257,31711107694246,user7095@yahoo.com.br
id_4081,Maria Santos,62597761525,90709818713649,user5851@hotmail.com
id_7492,Carlos Oliveira,12345678909,98537346275224,user6068@gmail.com
id_6089,Carlos Oliveira,12345678909,98537346275224,user3834@gmail.com
id_9130,João Silva,11122233344,98537346275224,user9340@gmail.com
id_7466,Carlos Oliveira,52998224725,17172257001286,user8977@gmail.com
id_4754,Maria Santos,60608761290,03776586174592,user4646@yahoo.com.br
id_7687,Ana Souza,60608761290,59105026901616,user3985@yahoo.com.br
id_3923,Ana Souza,55566677788,15814399731590,user2197@yahoo.com.br
id_5521,Maria Santos,55566677788,15814399731590,user2547@gmail.com
id_9059,João Silva,07370382257,15814399731590,user6639@gmail.com
id_7116,Pedro Costa,52998224725,99516286428740,user9075@yahoo.com.br
id_8116,Ana Souza,12345678909,14226870717149,user8904@hotmail.com
id_2871,Ana Souza,52998224725,98537346275224,user4286@yahoo.com.br
id_3180,Carlos Oliveira,55566677788,77890974970405,user7736@yahoo.com.br
id_9663,Carlos Oliveira,04335195095,77890974970405,user7647@hotmail.com
id_1388,João Silva,04335195095,84993584563456,user332@hotmail.com
id_8790,João Silva,07370382257,03776586174592,user200@yahoo.com.br
